C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00095 | Time(s) 0.0583 | Loss 0.1363 | Accuracy 0.8497 | ETputs(KTEPS) 158.20
Epoch 00096 | Time(s) 0.0583 | Loss 0.5336 | Accuracy 0.8497 | ETputs(KTEPS) 158.19
Epoch 00097 | Time(s) 0.0583 | Loss 0.7211 | Accuracy 0.8497 | ETputs(KTEPS) 158.23
Epoch 00098 | Time(s) 0.0583 | Loss 0.3488 | Accuracy 0.8497 | ETputs(KTEPS) 158.24
Epoch 00099 | Time(s) 0.0583 | Loss 0.0791 | Accuracy 0.8497 | ETputs(KTEPS) 158.26
Epoch 00100 | Time(s) 0.0583 | Loss 0.1891 | Accuracy 0.8497 | ETputs(KTEPS) 158.24
Epoch 00101 | Time(s) 0.0585 | Loss 0.3261 | Accuracy 0.8497 | ETputs(KTEPS) 157.71
Epoch 00102 | Time(s) 0.0590 | Loss 0.2030 | Accuracy 0.8497 | ETputs(KTEPS) 156.42
Epoch 00103 | Time(s) 0.0591 | Loss 0.2335 | Accuracy 0.8497 | ETputs(KTEPS) 156.11
Epoch 00104 | Time(s) 0.0596 | Loss 0.3983 | Accuracy 0.8497 | ETputs(KTEPS) 154.74
Epoch 00105 | Time(s) 0.0599 | Loss 0.3539 | Accuracy 0.8497 | ETputs(KTEPS) 153.93
Epoch 00106 | Time(s) 0.0600 | Loss 0.6910 | Accuracy 0.8497 | ETputs(KTEPS) 153.84
Epoch 00107 | Time(s) 0.0600 | Loss 0.3702 | Accuracy 0.8497 | ETputs(KTEPS) 153.91
Epoch 00108 | Time(s) 0.0599 | Loss 0.0829 | Accuracy 0.8497 | ETputs(KTEPS) 153.99
Epoch 00109 | Time(s) 0.0599 | Loss 0.2356 | Accuracy 0.8497 | ETputs(KTEPS) 154.04
Epoch 00110 | Time(s) 0.0599 | Loss 0.0976 | Accuracy 0.8497 | ETputs(KTEPS) 154.09
Epoch 00111 | Time(s) 0.0599 | Loss 0.0594 | Accuracy 0.8497 | ETputs(KTEPS) 154.18
Epoch 00112 | Time(s) 0.0599 | Loss 0.1512 | Accuracy 0.8497 | ETputs(KTEPS) 153.95
Epoch 00113 | Time(s) 0.0599 | Loss 0.4042 | Accuracy 0.8497 | ETputs(KTEPS) 153.95
Epoch 00114 | Time(s) 0.0599 | Loss 0.1126 | Accuracy 0.8497 | ETputs(KTEPS) 153.93
Epoch 00115 | Time(s) 0.0599 | Loss 0.1432 | Accuracy 0.8497 | ETputs(KTEPS) 154.00
Epoch 00116 | Time(s) 0.0599 | Loss 0.1043 | Accuracy 0.8497 | ETputs(KTEPS) 154.00
Epoch 00117 | Time(s) 0.0599 | Loss 0.2197 | Accuracy 0.8497 | ETputs(KTEPS) 154.07
Epoch 00118 | Time(s) 0.0599 | Loss 0.1251 | Accuracy 0.8497 | ETputs(KTEPS) 154.14
Epoch 00119 | Time(s) 0.0598 | Loss 0.2304 | Accuracy 0.8497 | ETputs(KTEPS) 154.21
Epoch 00120 | Time(s) 0.0598 | Loss 0.3065 | Accuracy 0.8497 | ETputs(KTEPS) 154.27
Epoch 00121 | Time(s) 0.0598 | Loss 0.1213 | Accuracy 0.8497 | ETputs(KTEPS) 154.36
Epoch 00122 | Time(s) 0.0598 | Loss 0.0979 | Accuracy 0.8497 | ETputs(KTEPS) 154.42
Epoch 00123 | Time(s) 0.0597 | Loss 0.0895 | Accuracy 0.8497 | ETputs(KTEPS) 154.48
Epoch 00124 | Time(s) 0.0597 | Loss 0.1844 | Accuracy 0.8497 | ETputs(KTEPS) 154.46
Epoch 00125 | Time(s) 0.0597 | Loss 0.1333 | Accuracy 0.8497 | ETputs(KTEPS) 154.46
Epoch 00126 | Time(s) 0.0598 | Loss 0.3039 | Accuracy 0.8497 | ETputs(KTEPS) 154.43
Epoch 00127 | Time(s) 0.0598 | Loss 0.0951 | Accuracy 0.8497 | ETputs(KTEPS) 154.43
Epoch 00128 | Time(s) 0.0597 | Loss 0.1054 | Accuracy 1.0000 | ETputs(KTEPS) 154.49
Epoch 00129 | Time(s) 0.0597 | Loss 0.0663 | Accuracy 1.0000 | ETputs(KTEPS) 154.51
Epoch 00130 | Time(s) 0.0597 | Loss 0.0535 | Accuracy 1.0000 | ETputs(KTEPS) 154.49
Epoch 00131 | Time(s) 0.0598 | Loss 0.4112 | Accuracy 1.0000 | ETputs(KTEPS) 154.42
Epoch 00132 | Time(s) 0.0598 | Loss 0.0942 | Accuracy 1.0000 | ETputs(KTEPS) 154.23
Epoch 00133 | Time(s) 0.0598 | Loss 0.0393 | Accuracy 1.0000 | ETputs(KTEPS) 154.23
Epoch 00134 | Time(s) 0.0598 | Loss 0.0500 | Accuracy 1.0000 | ETputs(KTEPS) 154.27
Epoch 00135 | Time(s) 0.0599 | Loss 0.0800 | Accuracy 1.0000 | ETputs(KTEPS) 154.16
Epoch 00136 | Time(s) 0.0599 | Loss 0.0873 | Accuracy 1.0000 | ETputs(KTEPS) 154.06
Epoch 00137 | Time(s) 0.0599 | Loss 0.0424 | Accuracy 1.0000 | ETputs(KTEPS) 154.02
Epoch 00138 | Time(s) 0.0599 | Loss 0.1310 | Accuracy 1.0000 | ETputs(KTEPS) 154.05
Epoch 00139 | Time(s) 0.0599 | Loss 0.1177 | Accuracy 1.0000 | ETputs(KTEPS) 154.05
Epoch 00140 | Time(s) 0.0599 | Loss 0.0642 | Accuracy 1.0000 | ETputs(KTEPS) 154.01
Epoch 00141 | Time(s) 0.0599 | Loss 0.0435 | Accuracy 1.0000 | ETputs(KTEPS) 153.99
Epoch 00142 | Time(s) 0.0599 | Loss 0.0351 | Accuracy 1.0000 | ETputs(KTEPS) 154.01
Epoch 00143 | Time(s) 0.0599 | Loss 0.1825 | Accuracy 1.0000 | ETputs(KTEPS) 154.01
Epoch 00144 | Time(s) 0.0599 | Loss 0.0785 | Accuracy 1.0000 | ETputs(KTEPS) 154.05
Epoch 00145 | Time(s) 0.0599 | Loss 0.0277 | Accuracy 1.0000 | ETputs(KTEPS) 153.96
Epoch 00146 | Time(s) 0.0600 | Loss 0.0551 | Accuracy 1.0000 | ETputs(KTEPS) 153.86
Epoch 00147 | Time(s) 0.0600 | Loss 0.0678 | Accuracy 1.0000 | ETputs(KTEPS) 153.86
Epoch 00148 | Time(s) 0.0601 | Loss 0.2973 | Accuracy 1.0000 | ETputs(KTEPS) 153.67
Epoch 00149 | Time(s) 0.0600 | Loss 0.0556 | Accuracy 1.0000 | ETputs(KTEPS) 153.74
Epoch 00150 | Time(s) 0.0600 | Loss 0.0249 | Accuracy 1.0000 | ETputs(KTEPS) 153.78
Epoch 00151 | Time(s) 0.0600 | Loss 0.0457 | Accuracy 1.0000 | ETputs(KTEPS) 153.84
Epoch 00152 | Time(s) 0.0600 | Loss 0.0505 | Accuracy 1.0000 | ETputs(KTEPS) 153.87
Epoch 00153 | Time(s) 0.0600 | Loss 0.1068 | Accuracy 1.0000 | ETputs(KTEPS) 153.91
Epoch 00154 | Time(s) 0.0599 | Loss 0.1768 | Accuracy 1.0000 | ETputs(KTEPS) 153.94
Epoch 00155 | Time(s) 0.0600 | Loss 0.0945 | Accuracy 1.0000 | ETputs(KTEPS) 153.76
Epoch 00156 | Time(s) 0.0600 | Loss 0.0571 | Accuracy 1.0000 | ETputs(KTEPS) 153.70
Epoch 00157 | Time(s) 0.0601 | Loss 0.0369 | Accuracy 1.0000 | ETputs(KTEPS) 153.65
Epoch 00158 | Time(s) 0.0601 | Loss 0.0652 | Accuracy 1.0000 | ETputs(KTEPS) 153.66
Epoch 00159 | Time(s) 0.0601 | Loss 0.0262 | Accuracy 1.0000 | ETputs(KTEPS) 153.64
Epoch 00160 | Time(s) 0.0601 | Loss 0.0557 | Accuracy 1.0000 | ETputs(KTEPS) 153.66
Epoch 00161 | Time(s) 0.0602 | Loss 0.0503 | Accuracy 1.0000 | ETputs(KTEPS) 153.38
Epoch 00162 | Time(s) 0.0602 | Loss 0.0287 | Accuracy 1.0000 | ETputs(KTEPS) 153.37
Epoch 00163 | Time(s) 0.0601 | Loss 0.0594 | Accuracy 1.0000 | ETputs(KTEPS) 153.44
Epoch 00164 | Time(s) 0.0601 | Loss 0.0362 | Accuracy 1.0000 | ETputs(KTEPS) 153.49
Epoch 00165 | Time(s) 0.0603 | Loss 0.1686 | Accuracy 1.0000 | ETputs(KTEPS) 153.10
Epoch 00166 | Time(s) 0.0605 | Loss 0.0902 | Accuracy 1.0000 | ETputs(KTEPS) 152.51
Epoch 00167 | Time(s) 0.0605 | Loss 0.0344 | Accuracy 1.0000 | ETputs(KTEPS) 152.56
Epoch 00168 | Time(s) 0.0605 | Loss 0.0166 | Accuracy 1.0000 | ETputs(KTEPS) 152.57
Epoch 00169 | Time(s) 0.0605 | Loss 0.0362 | Accuracy 1.0000 | ETputs(KTEPS) 152.63
Epoch 00170 | Time(s) 0.0604 | Loss 0.1324 | Accuracy 1.0000 | ETputs(KTEPS) 152.67
Epoch 00171 | Time(s) 0.0604 | Loss 0.0338 | Accuracy 1.0000 | ETputs(KTEPS) 152.71
Epoch 00172 | Time(s) 0.0604 | Loss 0.0311 | Accuracy 1.0000 | ETputs(KTEPS) 152.79
Epoch 00173 | Time(s) 0.0604 | Loss 0.0192 | Accuracy 1.0000 | ETputs(KTEPS) 152.75
Epoch 00174 | Time(s) 0.0604 | Loss 0.0199 | Accuracy 1.0000 | ETputs(KTEPS) 152.81
Epoch 00175 | Time(s) 0.0604 | Loss 0.0164 | Accuracy 1.0000 | ETputs(KTEPS) 152.80
Epoch 00176 | Time(s) 0.0604 | Loss 0.0139 | Accuracy 1.0000 | ETputs(KTEPS) 152.85
Epoch 00177 | Time(s) 0.0604 | Loss 0.0738 | Accuracy 1.0000 | ETputs(KTEPS) 152.89
Epoch 00178 | Time(s) 0.0604 | Loss 0.0382 | Accuracy 1.0000 | ETputs(KTEPS) 152.90
Epoch 00179 | Time(s) 0.0604 | Loss 0.0194 | Accuracy 1.0000 | ETputs(KTEPS) 152.90
Epoch 00180 | Time(s) 0.0603 | Loss 0.0323 | Accuracy 1.0000 | ETputs(KTEPS) 152.95
Epoch 00181 | Time(s) 0.0603 | Loss 0.0292 | Accuracy 1.0000 | ETputs(KTEPS) 152.99
Epoch 00182 | Time(s) 0.0603 | Loss 0.0139 | Accuracy 1.0000 | ETputs(KTEPS) 153.05
Epoch 00183 | Time(s) 0.0603 | Loss 0.0469 | Accuracy 1.0000 | ETputs(KTEPS) 153.13
Epoch 00184 | Time(s) 0.0603 | Loss 0.0777 | Accuracy 1.0000 | ETputs(KTEPS) 153.15
Epoch 00185 | Time(s) 0.0602 | Loss 0.0187 | Accuracy 1.0000 | ETputs(KTEPS) 153.22
Epoch 00186 | Time(s) 0.0602 | Loss 0.0350 | Accuracy 1.0000 | ETputs(KTEPS) 153.24
Epoch 00187 | Time(s) 0.0602 | Loss 0.0139 | Accuracy 1.0000 | ETputs(KTEPS) 153.26
Epoch 00188 | Time(s) 0.0602 | Loss 0.0247 | Accuracy 1.0000 | ETputs(KTEPS) 153.32
Epoch 00189 | Time(s) 0.0603 | Loss 0.0164 | Accuracy 1.0000 | ETputs(KTEPS) 153.13
Epoch 00190 | Time(s) 0.0603 | Loss 0.0172 | Accuracy 1.0000 | ETputs(KTEPS) 153.15
Epoch 00191 | Time(s) 0.0603 | Loss 0.0699 | Accuracy 1.0000 | ETputs(KTEPS) 153.07
Epoch 00192 | Time(s) 0.0604 | Loss 0.0252 | Accuracy 1.0000 | ETputs(KTEPS) 152.73
Epoch 00193 | Time(s) 0.0604 | Loss 0.0349 | Accuracy 1.0000 | ETputs(KTEPS) 152.73
Epoch 00194 | Time(s) 0.0604 | Loss 0.0242 | Accuracy 1.0000 | ETputs(KTEPS) 152.72
Epoch 00195 | Time(s) 0.0604 | Loss 0.0215 | Accuracy 1.0000 | ETputs(KTEPS) 152.75
Epoch 00196 | Time(s) 0.0604 | Loss 0.0833 | Accuracy 1.0000 | ETputs(KTEPS) 152.74
Epoch 00197 | Time(s) 0.0604 | Loss 0.0163 | Accuracy 1.0000 | ETputs(KTEPS) 152.75
Epoch 00198 | Time(s) 0.0604 | Loss 0.0642 | Accuracy 1.0000 | ETputs(KTEPS) 152.72
Epoch 00199 | Time(s) 0.0604 | Loss 0.0166 | Accuracy 1.0000 | ETputs(KTEPS) 152.69

Test Accuracy 1.0000
