C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00147 | Time(s) 0.0574 | Loss 0.0691 | Accuracy 1.0000 | ETputs(KTEPS) 183.83
Epoch 00148 | Time(s) 0.0573 | Loss 0.0692 | Accuracy 1.0000 | ETputs(KTEPS) 184.06
Epoch 00149 | Time(s) 0.0573 | Loss 0.0726 | Accuracy 1.0000 | ETputs(KTEPS) 184.29
Epoch 00150 | Time(s) 0.0571 | Loss 0.0664 | Accuracy 1.0000 | ETputs(KTEPS) 184.86
Epoch 00151 | Time(s) 0.0569 | Loss 0.0672 | Accuracy 1.0000 | ETputs(KTEPS) 185.42
Epoch 00152 | Time(s) 0.0568 | Loss 0.0555 | Accuracy 1.0000 | ETputs(KTEPS) 185.79
Epoch 00153 | Time(s) 0.0566 | Loss 0.0710 | Accuracy 1.0000 | ETputs(KTEPS) 186.35
Epoch 00154 | Time(s) 0.0565 | Loss 0.0576 | Accuracy 1.0000 | ETputs(KTEPS) 186.90
Epoch 00155 | Time(s) 0.0563 | Loss 0.0704 | Accuracy 1.0000 | ETputs(KTEPS) 187.45
Epoch 00156 | Time(s) 0.0563 | Loss 0.0525 | Accuracy 1.0000 | ETputs(KTEPS) 187.65
Epoch 00157 | Time(s) 0.0561 | Loss 0.0644 | Accuracy 1.0000 | ETputs(KTEPS) 188.19
Epoch 00158 | Time(s) 0.0559 | Loss 0.0612 | Accuracy 1.0000 | ETputs(KTEPS) 188.73
Epoch 00159 | Time(s) 0.0559 | Loss 0.0623 | Accuracy 1.0000 | ETputs(KTEPS) 188.88
Epoch 00160 | Time(s) 0.0558 | Loss 0.0464 | Accuracy 1.0000 | ETputs(KTEPS) 189.07
