C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00079 | Time(s) 0.0536 | Loss 1.2494 | Accuracy 0.8497 | ETputs(KTEPS) 172.19
Epoch 00080 | Time(s) 0.0535 | Loss 1.2274 | Accuracy 0.8497 | ETputs(KTEPS) 172.42
Epoch 00081 | Time(s) 0.0535 | Loss 1.4183 | Accuracy 0.8497 | ETputs(KTEPS) 172.57
Epoch 00082 | Time(s) 0.0534 | Loss 1.4870 | Accuracy 0.8497 | ETputs(KTEPS) 172.68
Epoch 00083 | Time(s) 0.0534 | Loss 1.2819 | Accuracy 0.8497 | ETputs(KTEPS) 172.74
Epoch 00084 | Time(s) 0.0534 | Loss 0.9633 | Accuracy 0.8497 | ETputs(KTEPS) 172.88
Epoch 00085 | Time(s) 0.0533 | Loss 1.1097 | Accuracy 0.8497 | ETputs(KTEPS) 173.02
Epoch 00086 | Time(s) 0.0533 | Loss 1.1623 | Accuracy 0.8497 | ETputs(KTEPS) 173.11
Epoch 00087 | Time(s) 0.0533 | Loss 1.1815 | Accuracy 0.8497 | ETputs(KTEPS) 173.24
Epoch 00088 | Time(s) 0.0535 | Loss 1.2073 | Accuracy 0.8497 | ETputs(KTEPS) 172.62
Epoch 00089 | Time(s) 0.0540 | Loss 1.3339 | Accuracy 0.8497 | ETputs(KTEPS) 170.85
Epoch 00090 | Time(s) 0.0541 | Loss 1.0398 | Accuracy 0.8497 | ETputs(KTEPS) 170.60
Epoch 00091 | Time(s) 0.0549 | Loss 1.1953 | Accuracy 0.8497 | ETputs(KTEPS) 167.97
Epoch 00092 | Time(s) 0.0552 | Loss 1.0494 | Accuracy 0.8497 | ETputs(KTEPS) 167.29
Epoch 00093 | Time(s) 0.0551 | Loss 0.9844 | Accuracy 0.8497 | ETputs(KTEPS) 167.40
Epoch 00094 | Time(s) 0.0551 | Loss 0.8912 | Accuracy 0.8497 | ETputs(KTEPS) 167.58
Epoch 00095 | Time(s) 0.0550 | Loss 1.1383 | Accuracy 0.8497 | ETputs(KTEPS) 167.75
Epoch 00096 | Time(s) 0.0550 | Loss 1.0417 | Accuracy 0.8497 | ETputs(KTEPS) 167.91
Epoch 00097 | Time(s) 0.0549 | Loss 1.0290 | Accuracy 0.8497 | ETputs(KTEPS) 168.05
