C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00065 | Time(s) 0.0455 | Loss 0.1393 | Accuracy 0.8892 | ETputs(KTEPS) 232.09
Epoch 00066 | Time(s) 0.0455 | Loss 0.1363 | Accuracy 0.8892 | ETputs(KTEPS) 232.14
Epoch 00067 | Time(s) 0.0454 | Loss 0.1462 | Accuracy 0.8892 | ETputs(KTEPS) 232.26
Epoch 00068 | Time(s) 0.0454 | Loss 0.1551 | Accuracy 0.8892 | ETputs(KTEPS) 232.69
Epoch 00069 | Time(s) 0.0453 | Loss 0.1335 | Accuracy 0.8892 | ETputs(KTEPS) 233.11
Epoch 00070 | Time(s) 0.0453 | Loss 0.1802 | Accuracy 0.8892 | ETputs(KTEPS) 233.22
Epoch 00071 | Time(s) 0.0453 | Loss 0.1494 | Accuracy 0.8892 | ETputs(KTEPS) 233.17
Epoch 00072 | Time(s) 0.0453 | Loss 0.1506 | Accuracy 0.8892 | ETputs(KTEPS) 233.27
Epoch 00073 | Time(s) 0.0452 | Loss 0.1675 | Accuracy 0.8892 | ETputs(KTEPS) 233.59
Epoch 00074 | Time(s) 0.0452 | Loss 0.1402 | Accuracy 0.8892 | ETputs(KTEPS) 233.47
Epoch 00075 | Time(s) 0.0452 | Loss 0.1542 | Accuracy 0.8892 | ETputs(KTEPS) 233.71
Epoch 00076 | Time(s) 0.0452 | Loss 0.1271 | Accuracy 0.8892 | ETputs(KTEPS) 233.80
Epoch 00077 | Time(s) 0.0451 | Loss 0.1087 | Accuracy 0.8892 | ETputs(KTEPS) 234.09
Epoch 00078 | Time(s) 0.0450 | Loss 0.1636 | Accuracy 0.8892 | ETputs(KTEPS) 234.38
Epoch 00079 | Time(s) 0.0451 | Loss 0.1579 | Accuracy 0.8892 | ETputs(KTEPS) 233.85
Epoch 00080 | Time(s) 0.0451 | Loss 0.1421 | Accuracy 0.8892 | ETputs(KTEPS) 234.07
Epoch 00081 | Time(s) 0.0451 | Loss 0.1241 | Accuracy 0.8892 | ETputs(KTEPS) 234.21
Epoch 00082 | Time(s) 0.0451 | Loss 0.1441 | Accuracy 0.8892 | ETputs(KTEPS) 234.16
Epoch 00083 | Time(s) 0.0450 | Loss 0.1265 | Accuracy 0.8892 | ETputs(KTEPS) 234.43
Epoch 00084 | Time(s) 0.0450 | Loss 0.1313 | Accuracy 0.8892 | ETputs(KTEPS) 234.63
Epoch 00085 | Time(s) 0.0450 | Loss 0.1398 | Accuracy 0.8892 | ETputs(KTEPS) 234.70
Epoch 00086 | Time(s) 0.0449 | Loss 0.0903 | Accuracy 0.8892 | ETputs(KTEPS) 234.95
Epoch 00087 | Time(s) 0.0449 | Loss 0.1238 | Accuracy 0.8892 | ETputs(KTEPS) 235.20
Epoch 00088 | Time(s) 0.0448 | Loss 0.1330 | Accuracy 0.8892 | ETputs(KTEPS) 235.38
Epoch 00089 | Time(s) 0.0449 | Loss 0.1073 | Accuracy 0.8892 | ETputs(KTEPS) 235.32
Epoch 00090 | Time(s) 0.0448 | Loss 0.1229 | Accuracy 0.8892 | ETputs(KTEPS) 235.38
Epoch 00091 | Time(s) 0.0448 | Loss 0.1233 | Accuracy 0.8892 | ETputs(KTEPS) 235.67
Epoch 00092 | Time(s) 0.0447 | Loss 0.1222 | Accuracy 0.8892 | ETputs(KTEPS) 235.90
Epoch 00093 | Time(s) 0.0447 | Loss 0.1305 | Accuracy 0.8892 | ETputs(KTEPS) 236.01
Epoch 00094 | Time(s) 0.0447 | Loss 0.1278 | Accuracy 0.8892 | ETputs(KTEPS) 236.00
Epoch 00095 | Time(s) 0.0447 | Loss 0.1268 | Accuracy 0.8892 | ETputs(KTEPS) 236.22
Epoch 00096 | Time(s) 0.0446 | Loss 0.1262 | Accuracy 0.8892 | ETputs(KTEPS) 236.49
Epoch 00097 | Time(s) 0.0446 | Loss 0.1223 | Accuracy 0.8892 | ETputs(KTEPS) 236.70
