C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\fromnumeric.py:3257: RuntimeWarning: Mean of empty slice.
  out=out, **kwargs)
C:\Users\kyuree\Anaconda3\envs\ai601_env\lib\site-packages\numpy\core\_methods.py:161: RuntimeWarning: invalid value encountered in double_scalars
  ret = ret.dtype.type(ret / rcount)
Epoch 00070 | Time(s) 0.0658 | Loss 0.7290 | Accuracy 0.8497 | ETputs(KTEPS) 140.28
Epoch 00071 | Time(s) 0.0660 | Loss 0.7692 | Accuracy 0.8497 | ETputs(KTEPS) 139.90
Epoch 00072 | Time(s) 0.0664 | Loss 1.1990 | Accuracy 0.8497 | ETputs(KTEPS) 139.07
Epoch 00073 | Time(s) 0.0663 | Loss 0.9871 | Accuracy 0.8497 | ETputs(KTEPS) 139.18
Epoch 00074 | Time(s) 0.0662 | Loss 0.4634 | Accuracy 0.8497 | ETputs(KTEPS) 139.29
Epoch 00075 | Time(s) 0.0664 | Loss 0.3442 | Accuracy 0.8497 | ETputs(KTEPS) 138.95
Epoch 00076 | Time(s) 0.0664 | Loss 0.1806 | Accuracy 0.8497 | ETputs(KTEPS) 139.06
Epoch 00077 | Time(s) 0.0665 | Loss 0.7856 | Accuracy 0.8497 | ETputs(KTEPS) 138.74
Epoch 00078 | Time(s) 0.0665 | Loss 0.7507 | Accuracy 0.8497 | ETputs(KTEPS) 138.85
Epoch 00079 | Time(s) 0.0666 | Loss 0.1366 | Accuracy 0.8497 | ETputs(KTEPS) 138.53
Epoch 00080 | Time(s) 0.0668 | Loss 0.1485 | Accuracy 0.8497 | ETputs(KTEPS) 138.23
Epoch 00081 | Time(s) 0.0669 | Loss 0.2961 | Accuracy 0.8497 | ETputs(KTEPS) 137.93
Epoch 00082 | Time(s) 0.0669 | Loss 0.4933 | Accuracy 0.8497 | ETputs(KTEPS) 137.97
Epoch 00083 | Time(s) 0.0668 | Loss 0.7671 | Accuracy 0.8497 | ETputs(KTEPS) 138.08
Epoch 00084 | Time(s) 0.0668 | Loss 0.2454 | Accuracy 0.8497 | ETputs(KTEPS) 138.19
Epoch 00085 | Time(s) 0.0669 | Loss 0.6833 | Accuracy 0.8497 | ETputs(KTEPS) 137.87
Epoch 00086 | Time(s) 0.0669 | Loss 0.0669 | Accuracy 0.8497 | ETputs(KTEPS) 137.98
Epoch 00087 | Time(s) 0.0668 | Loss 0.3033 | Accuracy 0.8497 | ETputs(KTEPS) 138.06
Epoch 00088 | Time(s) 0.0670 | Loss 0.0961 | Accuracy 0.8497 | ETputs(KTEPS) 137.79
Epoch 00089 | Time(s) 0.0669 | Loss 0.4984 | Accuracy 0.8497 | ETputs(KTEPS) 137.90
Epoch 00090 | Time(s) 0.0669 | Loss 0.1414 | Accuracy 0.8497 | ETputs(KTEPS) 138.00
